cpus,mem,npmem,recvTps,sendTps,acceptTps,serializedBuffer
12.0954,2.21E+08,3.76E+06,4380,74187,605,3900
11.0174,2.21E+08,3.76E+06,4532,75584,652,3900
12.0654,2.21E+08,3.77E+06,4870,80129,670,3900
7.93563,2.21E+08,3.77E+06,4720,79955,642,3900
13.9237,2.21E+08,3.77E+06,4691,81932,645,3900
12.3388,2.21E+08,3.77E+06,4709,81773,629,3900
9.98047,2.21E+08,3.76E+06,4672,83854,627,3900
11.6531,2.21E+08,3.77E+06,4686,84370,631,3900
10.2255,2.21E+08,3.77E+06,4469,82013,579,3900
8.93064,2.21E+08,3.77E+06,4679,84162,562,3900
11.5717,2.21E+08,3.77E+06,4445,79918,472,3900
10.7338,2.21E+08,3.78E+06,4473,77847,475,3900
11.4477,2.21E+08,3.79E+06,4493,78340,484,3900
8.81762,2.21E+08,3.78E+06,4466,80054,521,3900
9.88376,2.21E+08,3.77E+06,4649,81281,599,3900
10.1483,2.21E+08,3.77E+06,4630,82246,612,3900
11.5759,2.21E+08,3.77E+06,4706,83791,684,3900
11.3234,2.21E+08,3.76E+06,4548,80504,639,3900
9.23026,2.21E+08,3.77E+06,4354,80221,555,3900
11.1469,2.21E+08,3.77E+06,4448,78242,615,3900
10.5277,2.21E+08,3.77E+06,4333,79346,593,3900
9.49815,2.21E+08,3.77E+06,4427,75603,580,3900
10.7628,2.21E+08,3.78E+06,4288,73423,548,3900
7.92702,2.21E+08,3.76E+06,4219,71712,516,3900
9.2318,2.21E+08,3.76E+06,4477,77396,560,3900
8.19876,2.21E+08,3.77E+06,4387,78222,523,3900
11.0324,2.21E+08,3.79E+06,4554,80135,500,3900
11.4346,2.21E+08,3.77E+06,4536,80019,487,3900
9.75044,2.21E+08,3.78E+06,4555,82137,529,3900
14.2602,2.21E+08,3.78E+06,4629,80666,515,3900
13.6066,2.21E+08,3.77E+06,4757,82592,569,3900
13.5006,2.21E+08,3.77E+06,4685,79535,537,3900
11.5785,2.21E+08,3.76E+06,4658,79298,525,3900
10.7631,2.21E+08,3.77E+06,4549,79354,503,3900
12.2301,2.21E+08,3.77E+06,4661,80010,564,3900
11.4451,2.21E+08,3.75E+06,4569,78462,629,3900
16.266,2.21E+08,3.75E+06,4576,77436,610,3900
10.9327,2.21E+08,3.76E+06,4572,77057,593,3900
9.66787,2.21E+08,3.77E+06,4435,74162,529,3900
12.3156,2.21E+08,3.76E+06,4427,75241,533,3900
10.5314,2.21E+08,3.77E+06,4337,74815,492,3900
9.24112,2.21E+08,3.77E+06,4404,77214,519,3900
14.7835,2.21E+08,3.75E+06,4557,81121,641,3900
8.58351,2.21E+08,3.77E+06,4436,81871,636,3900
10.4063,2.21E+08,3.77E+06,4410,81237,569,3900
12.0228,2.21E+08,3.77E+06,4418,81754,579,3900
14.0473,2.21E+08,3.77E+06,4454,81192,561,3900
10.8015,2.21E+08,3.77E+06,4534,79419,555,3900
13.0066,2.21E+08,3.77E+06,4477,79332,539,3900
11.1604,2.21E+08,3.77E+06,4619,79374,566,3900
8.44792,2.21E+08,3.77E+06,4547,78596,542,3900
12.3595,2.21E+08,3.77E+06,4539,79548,529,3900
10.8031,2.21E+08,3.78E+06,4535,79283,550,3900
11.3776,2.21E+08,3.78E+06,4590,79447,562,3900
9.75716,2.21E+08,3.78E+06,4534,77164,593,3900
10.2803,2.21E+08,3.77E+06,4626,76278,656,3900
10.6515,2.21E+08,3.76E+06,4668,77661,611,3900
11.4369,2.21E+08,3.77E+06,4681,79708,598,3900
11.4521,2.21E+08,3.78E+06,4587,78823,554,3900
11.8423,2.21E+08,3.78E+06,4602,80624,562,3900
10.9344,2.21E+08,3.78E+06,4758,81999,621,3900
11.2709,2.21E+08,3.77E+06,4658,81288,606,3900
12.7337,2.21E+08,3.78E+06,4750,81972,612,3900
10.2773,2.21E+08,3.77E+06,4568,75870,565,3900
10.4121,2.21E+08,3.77E+06,4516,74671,532,3900
11.0582,2.21E+08,3.78E+06,4631,76709,526,3900
9.96395,2.21E+08,3.76E+06,4606,78370,530,3900
10.1455,2.21E+08,3.79E+06,4749,82559,551,3900
12.4831,2.21E+08,3.79E+06,4545,80242,559,3900
10.5326,2.21E+08,3.78E+06,4542,79461,549,3900
11.5748,2.21E+08,3.77E+06,4492,76873,555,3900
10.0177,2.21E+08,3.77E+06,4570,79459,656,3900
11.3188,2.21E+08,3.78E+06,4495,74686,539,3900
12.3592,2.21E+08,3.78E+06,4457,74745,485,3900
12.9663,2.21E+08,3.79E+06,4532,77621,536,3900
9.88186,2.21E+08,3.78E+06,4615,79998,524,3900
9.3613,2.21E+08,3.78E+06,4379,76288,419,3900
10.0188,2.21E+08,3.77E+06,4415,77394,443,3900
10.7877,2.21E+08,3.79E+06,4232,73795,381,3900
11.1879,2.21E+08,3.79E+06,4477,78431,471,3900
9.74547,2.21E+08,3.78E+06,4516,76311,479,3900
9.62889,2.21E+08,3.77E+06,4666,79344,530,3900
10.1424,2.21E+08,3.77E+06,4601,78076,578,3900
11.0358,2.21E+08,3.76E+06,4598,77977,608,3900
10.271,2.21E+08,3.78E+06,4657,76142,615,3900
11.8439,2.21E+08,3.76E+06,4681,74482,638,3900
8.97386,2.21E+08,3.77E+06,4649,75196,625,3900
10.4124,2.21E+08,3.76E+06,4724,75269,661,3900
12.2176,2.21E+08,3.77E+06,4549,71314,588,3900
8.8455,2.21E+08,3.78E+06,4409,71348,508,3900
9.75626,2.21E+08,3.78E+06,4456,71566,511,3900
9.88784,2.21E+08,3.78E+06,4565,75988,572,3900
10.6716,2.21E+08,3.78E+06,4560,74726,493,3900
9.09173,2.21E+08,3.78E+06,4529,77550,546,3900
10.7972,2.21E+08,3.78E+06,4514,79074,554,3900
9.50009,2.21E+08,3.78E+06,4668,82337,584,3900
10.7943,2.21E+08,3.78E+06,4708,81111,596,3900
10.5191,2.21E+08,3.77E+06,4745,85143,572,3900
10.1442,2.21E+08,3.77E+06,4598,82497,510,3900
11.3224,2.21E+08,3.77E+06,4650,84806,565,3900
10.414,2.21E+08,3.78E+06,4527,78791,469,3900
7.54871,2.21E+08,3.78E+06,4559,79033,536,3900
8.45148,2.21E+08,3.77E+06,4520,78129,589,3900
11.9678,2.21E+08,3.78E+06,4455,77327,564,3900
10.1457,2.21E+08,3.78E+06,4389,76884,562,3900
9.24174,2.21E+08,3.77E+06,4388,75663,511,3900
10.9177,2.21E+08,3.79E+06,4440,74054,503,3900
9.23015,2.21E+08,3.78E+06,4483,74780,531,3900
9.23176,2.21E+08,3.76E+06,4559,76161,580,3900
9.363,2.21E+08,3.77E+06,4586,76812,589,3900
10.9983,2.21E+08,3.77E+06,4602,78712,653,3900
12.0776,2.21E+08,3.77E+06,4801,82610,675,3900
10.7963,2.21E+08,3.77E+06,4741,83891,687,3900
9.75457,2.21E+08,3.77E+06,4608,78969,643,3900
10.9098,2.21E+08,3.77E+06,4567,78721,616,3900
10.2722,2.21E+08,3.77E+06,4343,73889,574,3900
10.7954,2.21E+08,3.77E+06,4457,74229,622,3900
12.7335,2.21E+08,3.76E+06,4513,77052,636,3900
9.50084,2.21E+08,3.76E+06,4618,77452,669,3900
13.0018,2.21E+08,3.77E+06,4738,81699,677,3900
13.0708,2.21E+08,3.77E+06,4698,83007,652,3900
8.96993,2.21E+08,3.78E+06,4828,84971,662,3900
12.4857,2.21E+08,3.77E+06,4717,82177,636,3900
10.5361,2.21E+08,3.78E+06,4540,80492,602,3900
9.88261,2.21E+08,3.78E+06,4452,76129,546,3900
10.5079,2.21E+08,3.77E+06,4489,77647,601,3900
11.0505,2.21E+08,3.77E+06,4683,78554,588,3900
8.45276,2.21E+08,3.76E+06,4515,77699,568,3900
14.4426,2.21E+08,3.77E+06,4578,78822,582,3900
11.6611,2.21E+08,3.76E+06,4417,76673,602,3900
10.6619,2.21E+08,3.77E+06,4541,78251,624,3900
9.23818,2.21E+08,3.75E+06,4486,75236,638,3900
11.5799,2.21E+08,3.78E+06,4464,77128,626,3900
10.6707,2.21E+08,3.77E+06,4317,76639,532,3900
10.4133,2.21E+08,3.77E+06,4130,76358,521,3900
9.36341,2.21E+08,3.77E+06,4245,76175,525,3900
9.09823,2.21E+08,3.77E+06,4298,76893,542,3900
9.61554,2.21E+08,3.78E+06,4210,73135,521,3900
11.8348,2.21E+08,3.78E+06,4285,72134,512,3900
11.4557,2.21E+08,3.78E+06,4366,75141,579,3900
11.5751,2.21E+08,3.77E+06,4336,73973,545,3900
8.80334,2.21E+08,3.79E+06,4541,75576,583,3900
10.2532,2.21E+08,3.77E+06,4477,75271,583,3900
9.08737,2.21E+08,3.78E+06,4284,71515,544,3900
9.87911,2.21E+08,3.78E+06,4489,73992,589,3900
13.0127,2.21E+08,3.78E+06,4308,71211,523,3900
7.77984,2.21E+08,3.78E+06,4344,71322,552,3900
11.4497,2.21E+08,3.78E+06,4313,71124,520,3900
7.28171,2.21E+08,3.78E+06,4446,74370,562,3900
9.49503,2.21E+08,3.78E+06,4348,73506,515,3900
